Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
10/10/2024, 14:47:52,60640.3,60640.4,60640.3,60640.3,21470,20,11120,10350
10/10/2024, 14:47:53,60640.3,60640.4,60635,60635.1,53399,82,22130,31269
10/10/2024, 14:47:54,60635.1,60635.1,60635,60635,14920,22,1210,13710
10/10/2024, 14:47:55,60635,60635.1,60635,60635.1,15370,24,1480,13890
10/10/2024, 14:47:56,60635.1,60638.2,60635,60638.1,31640,43,13020,18620
10/10/2024, 14:47:57,60638.2,60638.2,60638.1,60638.2,5790,15,3820,1970
10/10/2024, 14:47:58,60638.1,60638.2,60638.1,60638.1,14079,13,1380,12699
10/10/2024, 14:47:59,60638.1,60638.1,60635,60635.1,19240,46,8740,10500
10/10/2024, 14:48:00,60635.1,60635.1,60635,60635.1,2040,11,30,2010
10/10/2024, 14:48:01,60635.1,60635.1,60635,60635.1,20170,15,3660,16510
10/10/2024, 14:48:02,60635.1,60638.1,60635.1,60638,48629,58,230,48399
10/10/2024, 14:48:03,60638.1,60650,60638,60649.9,111388,399,49218,62170
10/10/2024, 14:48:04,60650,60650,60645,60648.4,14659,109,10100,4559
10/10/2024, 14:48:05,60648.5,60650,60648.4,60650,29130,47,3740,25390
10/10/2024, 14:48:06,60650,60650.8,60649.9,60650.8,29068,77,770,28298
10/10/2024, 14:48:07,60650.8,60650.8,60638.2,60638.2,155138,212,141538,13600
10/10/2024, 14:48:08,60638.3,60642.8,60638.2,60642.8,14440,112,280,14160
10/10/2024, 14:48:09,60642.7,60649.9,60642.7,60649.9,6260,67,180,6080
10/10/2024, 14:48:10,60649.9,60649.9,60638.1,60638.1,52689,113,51059,1630
10/10/2024, 14:48:11,60638.2,60638.2,60637.9,60637.9,28400,18,1060,27340
10/10/2024, 14:48:12,60637.9,60638,60637.9,60638,11420,9,110,11310
10/10/2024, 14:48:13,60637.9,60647.5,60637.9,60638.9,212189,179,13880,198309
10/10/2024, 14:48:14,60638.8,60638.9,60638.8,60638.9,1280,9,320,960
10/10/2024, 14:48:15,60638.9,60638.9,60637.9,60638,20410,26,5710,14700
10/10/2024, 14:48:16,60638,60638,60637.9,60638,5700,14,440,5260
10/10/2024, 14:48:17,60637.9,60638,60637.9,60638,7380,16,1240,6140
10/10/2024, 14:48:18,60638,60638,60626.8,60626.9,50658,175,41138,9520
10/10/2024, 14:48:19,60626.8,60626.8,60619,60619,44850,79,43470,1380
10/10/2024, 14:48:20,60618.7,60618.7,60617.3,60617.4,8610,26,5290,3320
10/10/2024, 14:48:21,60617.4,60617.4,60617.3,60617.4,5780,10,50,5730
10/10/2024, 14:48:22,60617.4,60617.4,60617.3,60617.3,11080,16,6010,5070
10/10/2024, 14:48:23,60617.3,60617.4,60617.3,60617.4,34905,28,34395,510
10/10/2024, 14:48:24,60617.4,60617.4,60616.5,60616.6,18460,22,16680,1780
10/10/2024, 14:48:25,60616.6,60616.6,60616.5,60616.5,3630,9,3540,90
10/10/2024, 14:48:26,60616.6,60616.6,60616.5,60616.5,4320,4,60,4260
10/10/2024, 14:48:27,60616.6,60630.3,60616.6,60630.3,42859,150,1240,41619
10/10/2024, 14:48:28,60630.3,60630.4,60630.3,60630.4,5100,22,1540,3560
10/10/2024, 14:48:29,60630.3,60637.7,60630.3,60637.7,34570,74,24200,10370
10/10/2024, 14:48:30,60637.8,60645.3,60637.8,60645.3,19640,89,3600,16040
10/10/2024, 14:48:31,60645.4,60645.4,60645.3,60645.4,5539,16,820,4719
10/10/2024, 14:48:32,60645.4,60650.8,60645.3,60650.8,9660,54,250,9410
10/10/2024, 14:48:33,60650.8,60650.9,60650.7,60650.8,10510,34,4150,6360
10/10/2024, 14:48:34,60650.9,60653.5,60650.9,60653.5,16730,80,2100,14630
10/10/2024, 14:48:35,60653.5,60653.5,60653.4,60653.5,3169,11,80,3089
10/10/2024, 14:48:36,60653.5,60656.3,60653.5,60656.3,24449,51,160,24289
10/10/2024, 14:48:37,60656.2,60656.8,60647.8,60647.9,87446,123,72736,14710
10/10/2024, 14:48:38,60647.8,60647.8,60634.1,60634.2,38948,129,36248,2700
10/10/2024, 14:48:39,60634.1,60634.1,60627.5,60627.6,19150,69,13720,5430
10/10/2024, 14:48:40,60627.5,60627.5,60621.6,60621.7,14269,56,11659,2610
10/10/2024, 14:48:41,60621.6,60621.7,60621.6,60621.6,8840,13,6550,2290
10/10/2024, 14:48:42,60621.7,60621.7,60619,60619.1,3210,48,2810,400
10/10/2024, 14:48:43,60619.1,60619.1,60613.1,60614,88678,131,74808,13870
10/10/2024, 14:48:44,60614.1,60614.1,60614,60614,6520,14,3210,3310
10/10/2024, 14:48:45,60614.1,60614.1,60610.2,60610.2,28389,44,17270,11119
10/10/2024, 14:48:46,60610.1,60610.1,60606.5,60606.5,15240,27,13310,1930
10/10/2024, 14:48:47,60606.5,60606.5,60592.2,60592.2,64810,134,64010,800
10/10/2024, 14:48:48,60592.3,60592.3,60592.2,60592.3,27119,15,200,26919
10/10/2024, 14:48:49,60592.2,60592.2,60581.4,60583.8,246377,237,235677,10700
10/10/2024, 14:48:50,60583.9,60583.9,60575.3,60575.4,119498,123,102769,16729
